OBJECTID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,COUNTRY,OPER_STAT,PERIMETER,AREA,Shape_Length,Shape_Area
1560,Navy Active,NAS Corpus Christi TX,N/A,Texas,United States,Active,13.66429392,4.41900068,25380.39325,14653541.78
1564,Navy Active,OLF Bravo,N/A,Mississippi,United States,Active,11.64139593,2.23160698,22973.27576,8202497.357
1639,WHS,Pentagon Building Site,N/A,Virginia,United States,Active,4.98638,0.34395351,10583.16386,1471795.504
1643,AF Active,Arnold,N/A,Tennessee,United States,Active,70.91531259,60.76822985,144104.9672,237197209.5
1652,AF Active,Eglin AFB Site 2 Santa Rosa Island,N/A,Florida,United States,Active,33.25063043,4.97793308,64202.3793,17385730.88
1655,AF Active,Eglin AFB (Eglin Main and Reservation),N/A,Florida,United States,Active,235.0262584,703.1183461,450616.5975,2464772939
1658,AF Active,Hurlburt Field,N/A,Florida,United States,Active,15.08632469,9.97662301,28951.18577,34867579.75
1665,AF Active,Eglin Air Force Auxiliary Field 3 Duke Fld,N/A,Florida,United States,Active,8.31817313,3.04210819,15928.52942,10680031.29
1666,AF Active,Eglin Air Force Auxiliary Field 6,N/A,Florida,United States,Active,6.30215526,1.33629277,12020.76571,4689711.433
1671,AF Active,Hanscom AFB,N/A,Massachusetts,United States,Active,6.41800403,1.21215943,14472.49499,5771393.999
1674,AF Active,Cape Cod Air Station,N/A,Massachusetts,United States,Active,3.71654684,0.15131146,8203.927611,704708.3156
1676,AF Active,Utah Test and Training Range South UT,N/A,Utah,United States,Active,156.9418559,900.7713739,345234.888,4038737671
1683,AF Active,UTTR - North,N/A,Utah,United States,Active,129.8917705,575.8092551,288482.4218,2622709438
1693,AF Active,Hill AFB,N/A,Utah,United States,Active,17.92093484,10.33916226,39473.67159,47240351.47
1696,AF Active,Tinker Support Annex,N/A,Oklahoma,United States,Active,1.95160534,0.2054024,3991.110704,802518.5464
1697,AF Active,Tinker AFB,N/A,Oklahoma,United States,Active,18.41947701,6.94229693,37387.25917,27134323.48
1698,AF Active,Tinker Aerospace Complex,N/A,Oklahoma,United States,Active,3.46725513,0.63548128,7078.929225,2482240.002
1700,AF Active,Wright-Patt AFB,N/A,Ohio,United States,Active,14.60653863,8.1629264,31571.47078,35879831.52
1704,AF Active,Creech AFB,N/A,Nevada,United States,Active,123.2728757,211.7709777,255508.62,853198423.3
1709,AF Active,Nellis Annex,N/A,Nevada,United States,Active,0.64412064,0.02516764,1329.1438,100402.308
1714,AF Active,Point Arena Air Force Station,N/A,California,United States,Inactive,2.80732403,0.12517774,5992.812411,535942.2218
1716,AF Active,McClellan AFB,N/A,California,United States,Inactive,13.20287133,4.50694328,27983.73065,19173735.76
1721,AF Active,Fort Eustis,N/A,Virginia,United States,Active,27.5111714,12.28342762,57091.29918,50145217.31
1722,AF Active,Saylor Creek Air Force Range,N/A,Idaho,United States,Active,57.14622739,171.097376,128325.1523,821991690.3
1763,AF Active,Offut AFB,N/A,Nebraska,United States,Active,11.89015959,3.27800877,26197.02943,14972870.17
1770,AF Active,Arbuckle Airfield,N/A,Florida,United States,Active,9.01432689,2.75252299,16675.58567,9120933.754
1771,AF Active,Avon Park AF Range,N/A,Florida,United States,Active,75.6069703,166.278867,140435.2204,550940441.8
1783,AF Active,Poinsett Range,N/A,South Carolina,United States,Active,22.01892042,19.57179064,43451.94816,73590120
1787,AF Active,Fort Fisher Recreation Site,N/A,North Carolina,United States,Active,1.91609877,0.06505427,3808.399255,245658.7383
1788,AF Active,Seymour Johnson AFB,N/A,North Carolina,United States,Active,12.63219333,5.04956187,25730.92683,19701896.93
1789,AF Active,Dare County Range,N/A,North Carolina,United States,Active,38.0059666,72.85184075,77844.65794,286843726.6
1792,AF Active,Cavalier Asn,N/A,North Dakota,United States,Active,2.79210683,0.41544057,7053.001535,2470410.136
1794,AF Active,Los Angeles Air Force Annex No4,N/A,California,United States,Active,0.31869193,0.00634495,635.4725049,23891.74444
1797,AF Active,Clear Air Force Station,N/A,Alaska,United States,Active,19.99637984,17.9384353,72217.73738,245806092.5
1800,AF Reserve,Norwalk 2,N/A,California,United States,Active,1.09520406,0.07821894,2189.316184,294766.5868
1801,AF Reserve,March ARB,N/A,California,United States,Active,14.77766976,3.37656166,29316.22708,12723292.68
1802,AF Reserve,Youngstown,N/A,Ohio,United States,Active,5.60290996,0.49828417,12414.41393,2286374.397
1803,AF Reserve,Dobbins ARB,N/A,Georgia,United States,Active,10.89297169,3.78261368,21685.11351,14262728.13
1806,AF Active,Barksdale AFB,N/A,Louisiana,United States,Active,28.93687611,34.29115123,57009.23874,125216565.4
1817,AF Active,Dyess AFB,N/A,Texas,United States,Active,14.97703127,8.38591111,29246.6618,30569582.45
1819,AF Active,Ellsworth AFB,N/A,South Dakota,United States,Active,11.10121803,6.19323949,25787.17243,31172041.18
1820,AF Active,Ellsworth AFB Site 2,N/A,South Dakota,United States,Active,9.40315679,2.00127812,21780.71889,10063721.48
1839,AF Active,Kirtland,N/A,New Mexico,United States,Active,53.75878941,78.48517719,109292.6766,303623142.3
2060,AF Active,Malmstrom AFB,N/A,Montana,United States,Active,11.7428722,5.1197989,28870.4971,29042303.64
2228,AF Active,Minot AFB,N/A,North Dakota,United States,Active,17.73537119,7.75923308,44277.73987,45592556.83
2229,AF Active,Newington Defense Fuel Support Point,N/A,New Hampshire,United States,Active,2.11401517,0.25103042,4802.676505,1220633.495
2230,AF Active,Whiteman AFB,N/A,Missouri,United States,Active,17.77861534,8.20858883,37665.75059,34986404.7
2449,AF Active,Laughlin AFB,N/A,Texas,United States,Active,12.78352045,6.39610569,24159.70065,21883369.47
2450,AF Active,Laughlin AFB Aux 1,N/A,Texas,United States,Active,4.00040491,0.62588742,7530.216794,2131401.619
2454,AF Active,JB Andrews,Joint Base Andrews,Maryland,United States,Active,10.6363054,6.87972183,22642.68403,29383976.07
2461,AF Active,Cannon AFB,N/A,New Mexico,United States,Active,12.80012055,6.34170532,25685.00052,24175265.56
2465,AF Active,Cannon AFB Site 2,N/A,New Mexico,United States,Active,2.82718202,0.4416304,5727.010109,1684506.31
2466,AF Active,Melrose Air Force Range,N/A,New Mexico,United States,Active,49.68520507,91.70461905,99259.36799,348780288.9
2489,AF Active,Travis Annex  2,N/A,California,United States,Active,2.46116805,0.32424531,5276.005082,1366673.99
2495,AF Active,Travis AFB,N/A,California,United States,Active,17.1767098,7.82631612,36365.81788,32932334.35
2497,AF Active,The Farish Memorial Recreational Annex,N/A,Colorado,United States,Active,6.19944523,1.05409456,13152.55446,4526616.593
2498,AF Active,USAF Academy Auxiliary Airfield,N/A,Colorado,United States,Active,6.72971098,0.30681337,13987.11583,1308795.71
2499,AF Active,USAF Academy,N/A,Colorado,United States,Active,36.94683316,28.81367101,78208.7549,123719286.6
2502,AF Reserve,Minn-St Paul,N/A,Minnesota,United States,Active,4.33354996,0.3590452,10139.1838,1852960.256
2503,AF Reserve,Grissom ARB,N/A,Indiana,United States,Active,13.56951794,2.16776358,29654.23258,9764837.385
2507,AF Reserve,Pittsburgh IAP (ARS),N/A,Pennsylvania,United States,Active,1.93084436,0.21399477,4205.557877,959379.7105
2508,AF Reserve,Westover ARB,N/A,Massachusetts,United States,Active,11.89019596,3.73008144,26639.53755,17615126.36
2513,AF Active,Pillar Point AFS,N/A,California,United States,Active,1.93371248,0.09906553,4012.294442,408351.686
2515,AF Active,Vandenberg Main Base,N/A,California,United States,Active,97.65642847,154.771353,195856.3131,594654609.8
2517,AF Active,Buckley AFB,N/A,Colorado,United States,Active,13.01986607,5.17886,28139.16482,22690955.39
2518,AF Reserve,Homestead ARB,N/A,Florida,United States,Active,13.02372709,4.60854128,23588.89556,14712423.34
2519,AF Active,Isabela Puerto Rico,N/A,Puerto Rico,Puerto Rico,Active,3.4817657,0.64752032,5888.772157,1874088.158
2521,AF Active,New Boston Air Station,N/A,New Hampshire,United States,Active,9.25955043,4.51049368,21056.42516,21806815.23
2522,AF Reserve,Niagara Falls,N/A,New York,United States,Active,7.01311971,0.98617091,16058.4848,4795074.597
2524,AF Active,Schriever AFB,N/A,Colorado,United States,Active,11.66857618,8.47225658,24924.81467,36186097.04
2528,AF Active,Davis Monthan AFB,N/A,Arizona,United States,Active,24.07198502,16.49827831,47009.12023,59798638.47
2529,AF Active,Langley AFB,N/A,Virginia,United States,Active,21.47567299,4.86093879,44715.70876,19819836.2
2531,AF Active,Tyndall AFB,N/A,Florida,United States,Active,118.356301,45.24040184,225397.8182,156898876.5
2545,AF Active,White Bluff,N/A,Washington,United States,Active,1.79215737,0.12879417,4444.181421,736074.1117
2546,AF Active,Cusick Survival Training Site,N/A,Washington,United States,Active,1.93270688,0.11752687,4833.901905,691401.4947
2550,AF Active,Fairchild AFB,N/A,Washington,United States,Active,14.39328688,6.61378044,35274.81004,37677886.77
2551,AF Active,Charleston AFB,Joint Base Charleston,South Carolina,United States,Active,15.94819967,4.73353742,31349.76535,17438631.05
2553,AF Active,Joint Base Charleston North Yard,Joint Base Charleston,South Carolina,United States,Active,1.06825756,0.03300759,2099.824886,121535.4099
2555,AF Active,Charleston Defense Fuel Support Point,Joint Base Charleston,South Carolina,United States,Active,1.37824709,0.06946084,2711.046893,255975.3731
2556,AF Active,Joint Base Charleston Naval Weapons Station,Joint Base Charleston,South Carolina,United States,Active,77.84501672,26.43353981,153076.8746,97521241.14
2557,AF Active,Joint Base Charleston Short Stay,Joint Base Charleston,South Carolina,United States,Active,2.12930988,0.09612861,4222.517421,356998.0184
2558,AF Active,North Air Force Auxiliary Field,Joint Base Charleston,South Carolina,United States,Active,12.85026608,3.507752,25573.42378,13130419.99
2561,AF Active,Little Rock AFB,N/A,Arkansas,United States,Active,14.60126902,9.71379196,29630.71719,37493115.36
2564,AF Active,Maxwell AFB Gunter Annex,N/A,Alabama,United States,Active,6.02781658,0.59023271,11866.97005,2150856.986
2567,AF Active,Maxwell AFB,N/A,Alabama,United States,Active,9.61208808,3.63838956,18795.07377,13251616.26
2568,AF Active,Altus AFB,N/A,Oklahoma,United States,Active,14.6589949,6.39362365,29349.96727,24535958.71
2574,AF Active,Columbus Auxiliary Airfield,N/A,Mississippi,United States,Active,6.76446487,1.41000299,13312.33725,5199333.123
2575,AF Active,Columbus AFB,N/A,Mississippi,United States,Active,11.96089694,6.8601769,23802.61459,25702325.68
2577,AF Active,Goodfellow AFB,N/A,Texas,United States,Active,5.71761646,1.68714349,11091.62113,6020376.038
2584,AF Active,Lackland Training Annex,Joint Base San Antonio,Texas,United States,Active,10.01285806,6.20617017,18855.24771,21238465.92
2585,AF Active,Lackland AFB,Joint Base San Antonio,Texas,United States,Active,13.39987668,4.13361456,25184.49302,14150797.39
2587,AF Active,Vance AFB,N/A,Oklahoma,United States,Active,12.95639316,5.32526778,26533.14276,21298201.31
2588,AF Active,Kegelman Air Force Auxiliary Field,N/A,Oklahoma,United States,Active,7.88828531,1.9189984,16116.34127,7753845.58
2593,AF Active,Bellows,N/A,Hawaii,United States,Active,5.40831439,0.6427876,9401.380905,1929049.062
2598,AF Active,Luke Air Force Auxiliary Field No 1,N/A,Arizona,United States,Active,5.20833523,1.1827716,10415.65006,4439021.882
2599,AF Active,Gila Bend Air Force Auxiliary Field,N/A,Arizona,United States,Active,7.41839854,3.14372097,14524.71613,11579261.29
2600,AF Active,Luke Waste Annex,N/A,Arizona,United States,Active,0.93154291,0.05695777,1846.871508,212894.0902
2601,AF Active,The Barry M Goldwater Air Force Range,N/A,Arizona,United States,Active,227.5686151,1640.940826,449895.7534,6011062623
2602,AF Active,Luke AFB,N/A,Arizona,United States,Active,18.59304004,4.54293907,36938.32527,16979511.08
2636,AF Active,Fort Richardson,Joint Base Elmendorf - Richardson,Alaska,United States,Active,78.52652418,93.34278088,261351.6652,1042266328
2637,AF Active,Elmendorf AFB,Joint Base Elmendorf - Richardson,Alaska,United States,Active,19.79301824,17.07431075,65893.13408,190701058.7
2663,AF Active,Yukon Weapons Range,N/A,Alaska,United States,Active,27.83782608,34.78530348,101734.7334,493808725.2
2669,AF Active,Birch Lake Recreation Annex,N/A,Alaska,United States,Active,2.03649307,0.07970144,7458.385675,1094463.863
2675,AF Active,Eielson AFB,N/A,Alaska,United States,Active,41.45166079,31.00252335,151908.8677,436963305.2
2676,AF Active,Eareckson AS,N/A,Alaska,United States,Active,16.96804743,5.45947725,46094.5991,38473957.12
2769,AF Guard,Alpena County Regional Airport,N/A,Michigan,United States,Active,5.81985922,0.85512122,13608.61401,4442562.661
2772,AF Guard,Atlantic City IAP,N/A,New Jersey,United States,Active,3.86036065,0.46246532,8301.709248,2011326.709
2777,AF Guard,Bangor IAP,N/A,Maine,United States,Active,4.81304066,0.42377862,11255.23045,2181404.001
2778,AF Guard,Boise Air Terminal,N/A,Idaho,United States,Active,6.10816747,0.9191414,14086.92059,4534410.987
2779,AF Guard,Bradley IAP,N/A,Connecticut,United States,Active,2.37862622,0.23060368,5297.109225,1080071.565
2782,AF Guard,Channel Islands ANG Station,N/A,California,United States,Active,2.69661038,0.32236853,5310.292256,1221825.425
2783,AF Guard,Charlotte/Douglas IAP,N/A,North Carolina,United States,Active,1.92858881,0.16333019,3902.667363,635217.0352
2785,AF Guard,Cheyenne Regional Airport,N/A,Wyoming,United States,Active,1.61995915,0.10400657,3602.938479,475703.2474
2787,AF Guard,Forbes Field ANG,N/A,Kansas,United States,Active,2.61955479,0.27333547,5569.936849,1172504.252
2795,AF Guard,Fort Smith Map,N/A,Arkansas,United States,Active,1.74866712,0.18078243,3538.84306,705247.905
2804,AF Guard,Francis S Gabreski Airport,N/A,New York,United States,Active,1.55114703,0.12961243,3398.57358,587043.1379
2810,AF Guard,Fresno Yosemite International ANG,N/A,California,United States,Active,1.76514843,0.12051507,3706.863079,487323.6663
2811,AF Guard,Great Falls IAP,N/A,Montana,United States,Active,2.26656673,0.20885517,5536.050297,1183414.259
2813,AF Guard,Hancock Field,N/A,New York,United States,Active,3.69960181,0.42186999,8526.991214,2050549.721
2817,AF Guard,Hector IAP,N/A,North Dakota,United States,Active,3.62269995,0.39879297,8766.727277,2212524.317
2819,AF Guard,Jacksonville IAP,N/A,Florida,United States,Active,3.48761262,0.53484249,6698.84271,1871460.26
2820,AF Guard,Jackson IAP Thompson Field,N/A,Mississippi,United States,Active,3.18635924,0.18841526,6204.219566,685359.6016
2826,AF Guard,Kingsley Field Cantonement Site 1,N/A,Oregon,United States,Active,3.28800642,0.24886542,7368.159445,1173829.318
2829,AF Guard,Louisville IAP-Standiford FL Site 1,N/A,Kentucky,United States,Active,1.52012828,0.11845742,3192.379123,497282.2369
2830,AF Guard,Luis Munoz Marin IAP,N/A,Puerto Rico,Puerto Rico,Active,1.86453786,0.14904625,3152.434641,431274.8922
2836,AF Guard,Site 1 Cantonement Area,N/A,Ohio,United States,Active,2.29287661,0.11022888,5042.60232,498869.4515
2837,AF Guard,Martin State Airport,N/A,Maryland,United States,Active,2.79530963,0.27366956,5996.316514,1186354.991
2838,AF Guard,McEntire Joint National Guard Base,N/A,South Carolina,United States,Active,11.15962031,3.73434117,22219.82164,14082551.16
2839,AF Guard,McGhee Tyson Airport,N/A,Tennessee,United States,Active,4.81290706,0.56671413,9799.975253,2236667.866
2840,AF Guard,Memphis IAP,N/A,Tennessee,United States,Active,1.97503922,0.18570996,3966.440944,718910.1254
2843,AF Guard,Gen Mitchell IAP,N/A,Wisconsin,United States,Active,1.59741204,0.10270726,3594.218991,496622.1532
2850,AF Guard,Montgomery Regional Airport ANGB,N/A,Alabama,United States,Active,1.88042428,0.09895828,3722.77337,359808.8077
2852,AF Guard,Nashville IAP,N/A,Tennessee,United States,Active,1.5909501,0.13740321,3247.633587,546386.8255
2853,AF Guard,New Castle Airport,N/A,Delaware,United States,Active,2.13090153,0.12085951,4552.700619,529234.0545
2854,AF Guard,Otis ANG Base,N/A,Massachusetts,United States,Active,8.20949827,1.07957185,18252.46384,5011277.264
2855,AF Guard,Pease ANGB,N/A,New Hampshire,United States,Active,2.9033002,0.33578116,6578.306123,1631400.739
2856,AF Guard,Pittsburgh IAP (ANG),N/A,Pennsylvania,United States,Active,4.00452124,0.45177954,8738.435998,2024920.334
2858,AF Guard,Portland IAP ANG,N/A,Oregon,United States,Active,2.77056327,0.3463822,6594.520441,1830992.106
2859,AF Guard,Quonset State Airport,N/A,Rhode Island,United States,Active,2.24476347,0.16253112,4979.090761,753312.314
2861,AF Guard,Reno Tahoe IAP,N/A,Nevada,United States,Active,1.31415086,0.09400832,2833.305038,409464.2058
2862,AF Guard,Rickenbacker,N/A,Ohio,United States,Active,3.17840196,0.26336079,6855.520187,1157447.084
2866,AF Guard,Rosecrans MAP (139AG),N/A,Missouri,United States,Active,1.70570787,0.139619,3668.673407,612790.318
2871,AF Guard,Salt Lake City IAP,N/A,Utah,United States,Active,2.10467974,0.21874313,4558.360106,989331.3487
2875,AF Guard,Savannah/Hilton Head IAP,N/A,Georgia,United States,Active,4.68716859,0.32225043,9167.955752,1167138.171
2878,AF Guard,Schenectady ANG MAP,N/A,New York,United States,Active,2.44305308,0.19697492,5512.534444,949716.4786
2879,AF Guard,Selfridge ANGB,N/A,Michigan,United States,Active,11.9763104,4.84474071,26963.11509,23180355.85
2880,AF Guard,Sioux Gateway Airport (ANG),N/A,Iowa,United States,Active,1.85965053,0.11980777,4152.4082,569291.382
2884,AF Guard,Joe Foss Field,N/A,South Dakota,United States,Active,1.98740466,0.14433221,4577.593125,712421.3597
2886,AF Guard,Sky Harbor IAP,N/A,Arizona,United States,Active,1.42847234,0.09408599,2843.461209,350766.49
2887,AF Guard,Smoky Hill ANG Range,N/A,Kansas,United States,Active,38.01773609,53.03493845,80621.15858,225831464.3
2889,AF Guard,Springfield Beckley,N/A,Ohio,United States,Active,2.73583697,0.20672733,5951.798198,909496.729
2890,AF Guard,Stewart IAP,N/A,New York,United States,Active,2.74601337,0.40548721,6103.843495,1873879.451
2892,AF Guard,Truax ANGB,N/A,Wisconsin,United States,Active,2.78801687,0.23109196,6320.820529,1124278.103
2893,AF Guard,Tulsa IAP,N/A,Oklahoma,United States,Active,2.28947442,0.15614886,4689.619795,622596.1518
2894,AF Guard,Tucson IAP,N/A,Arizona,United States,Active,1.76995688,0.14661982,3458.93589,531091.16
2895,AF Guard,Volk ANGB,N/A,Wisconsin,United States,Active,10.88799346,3.46476952,25246.65613,17309517.04
2898,AF Guard,Will Rogers World Airport,N/A,Oklahoma,United States,Active,1.78869294,0.21183731,3624.130824,827738.1589
2899,AF Guard,W K Kellogg,N/A,Michigan,United States,Active,3.00675032,0.21872001,6783.932166,1036678.605
2903,AF Guard,Yeager Airport,N/A,West Virginia,United States,Active,2.20015732,0.19296441,4624.992243,814393.0683
2904,AF Guard,Des Moines IAP,N/A,Iowa,United States,Active,2.6823807,0.25286069,5958.040595,1170091.612
2905,AF Guard,Duluth IAP,N/A,Minnesota,United States,Active,3.62073643,0.23824589,8684.920285,1318434.768
2910,AF Guard,General Wayne A Downing Peoria IAP,N/A,Illinois,United States,Active,3.62388193,0.5651211,7939.613803,2546083.091
2912,AF Guard,EWVRA Shepherd Field,N/A,West Virginia,United States,Active,4.96366638,0.4879501,10746.24383,2119656.613
2915,AF Guard,Hulman Fld,N/A,Indiana,United States,Active,1.54130418,0.1084794,3298.488948,471872.3743
2917,AF Guard,Toledo/Exp Airport,N/A,Ohio,United States,Active,2.79467094,0.2112758,6222.191883,978927.5029
2918,AF Active,Dix,Joint Base McGuire - Dix - Lakehurst,New Jersey,United States,Active,54.00688149,48.42194574,117271.1303,213988762.5
2920,AF Active,Lakehurst,Joint Base McGuire - Dix - Lakehurst,New Jersey,United States,Active,19.03346649,11.62878241,41616.62165,51425864.88
2922,AF Active,MacDill AFB,N/A,Florida,United States,Active,14.38182786,8.90105922,26699.47462,29597867.63
2923,AF Active,McConnell AFB,N/A,Kansas,United States,Active,15.32663449,4.14093277,32121.39956,17126535.58
2927,AF Active,Scott AFB,N/A,Illinois,United States,Active,13.67213131,4.53168279,29196.77373,19214358.97
2928,AF Active,St Louis Air Force Station,N/A,Missouri,United States,Active,1.21329635,0.04871351,2572.988073,206828.8005
2929,AF Guard,Barnes Map (ANG),N/A,Massachusetts,United States,Active,1.96591611,0.17294544,4369.414084,815965.6488
2932,AF Guard,Birmingham Airport,N/A,Alabama,United States,Active,4.14696304,0.21035001,8237.093281,786832.2903
2934,AF Guard,Burlington IAP,N/A,Vermont,United States,Active,4.0860007,0.38757946,9538.635615,1971763.491
2936,AF Guard,Capital Airport,N/A,Illinois,United States,Active,1.8553527,0.14707993,3981.389893,647052.9654
